Model 1,Model 2,Wilcoxon Statistic,Raw p-value,Holm Adjusted p-value,Significant (α=0.05)
Ridge,KNN,0.0,6.103515625e-05,0.0003662109375,True
Ridge,Random Forest,0.0,6.103515625e-05,0.0003662109375,True
Ridge,SVR,0.0,6.103515625e-05,0.0003662109375,True
KNN,Random Forest,7.0,0.00115966796875,0.0023193359375,True
KNN,SVR,5.0,0.0006103515625,0.0018310546875,True
Random Forest,SVR,48.0,0.52447509765625,0.52447509765625,False
