Model,Mean Fit Time (s),SD Fit Time (s),Mean Score Time (s)
Ridge,0.3683282216389974,0.029270517789324418,0.00832815170288086
KNN,4.891681448618571,0.8966556351738197,0.17219382921854656
Random Forest,9.712230110168457,0.6540754194330798,0.05207843780517578
SVR,13.53429980278015,1.8757874392772675,0.2623891830444336
